epoch,f1,loss,mean_iou,mean_iou_rounded,melt_pond_iou,ocean_iou,precision,recall,sea_ice_iou,val_f1,val_loss,val_mean_iou,val_mean_iou_rounded,val_melt_pond_iou,val_ocean_iou,val_precision,val_recall,val_sea_ice_iou,val_weighted_iou,weighted_iou
0,0.3622848689556122,0.6258512735366821,0.23478183150291443,0.2305411845445633,0.12305649369955063,0.20366577804088593,0.3923860788345337,0.4138384759426117,0.3774782121181488,0.3203171491622925,0.6110301613807678,0.20007586479187012,0.02380392514169216,0.09636338800191879,0.16501517593860626,0.35732465982437134,0.3667351305484772,0.3388558030128479,0.2479257881641388,0.3039422929286957
1,0.3960442543029785,0.716067910194397,0.2897832989692688,0.2974369525909424,0.05421410873532295,0.2434128224849701,0.4311361312866211,0.4346851408481598,0.5718854665756226,0.38479435443878174,0.6592317223548889,0.2797837257385254,0.34547722339630127,0.029710039496421814,0.22073820233345032,0.40254130959510803,0.4058119058609009,0.5889139175415039,0.2483191192150116,0.2841896414756775
2,0.4173404574394226,0.616679847240448,0.28917261958122253,0.2916255295276642,0.10916690528392792,0.2781328558921814,0.44106411933898926,0.4614011347293854,0.47997888922691345,0.31456369161605835,0.7816222906112671,0.20888087153434753,0.17021611332893372,0.0019347418565303087,0.25157225131988525,0.43777352571487427,0.4259503483772278,0.3731333017349243,0.20157811045646667,0.34708675742149353
3,0.43141454458236694,0.6041662096977234,0.3090403974056244,0.3229866325855255,0.09284083545207977,0.264321893453598,0.4454275667667389,0.45521897077560425,0.5700167417526245,0.4832724332809448,0.6938258409500122,0.39208096265792847,0.42773035168647766,1.7993009748806799e-07,0.45397257804870605,0.5678579807281494,0.5387494564056396,0.7222774028778076,0.36791226267814636,0.33641737699508667
4,0.4747634828090668,0.512260913848877,0.3455330729484558,0.36020180583000183,0.11440400779247284,0.3335731625556946,0.4779202342033386,0.482272207736969,0.5885410308837891,0.26819872856140137,1.026210069656372,0.17220528423786163,0.15533192455768585,8.009160410438199e-07,0.24609264731407166,0.4939368665218353,0.42258816957473755,0.27052560448646545,0.18007391691207886,0.40075668692588806
5,0.47943228483200073,0.4881015717983246,0.34489956498146057,0.36143383383750916,0.12959417700767517,0.3690687119960785,0.4809313714504242,0.5250058770179749,0.5359260439872742,0.3870621621608734,0.8786548376083374,0.28004932403564453,0.2900700271129608,1.0050939636130352e-05,0.3162378966808319,0.5299224853515625,0.5063057541847229,0.5239054560661316,0.2595972418785095,0.4281468987464905
6,0.524885892868042,0.3878249526023865,0.3948357403278351,0.41704434156417847,0.15817157924175262,0.404958575963974,0.5309113264083862,0.5459749102592468,0.6210290789604187,0.35828855633735657,0.9585854411125183,0.24940568208694458,0.25714564323425293,0.00014508185267914087,0.28834474086761475,0.5470247864723206,0.48372113704681396,0.45973777770996094,0.2339632511138916,0.49217501282691956
7,0.5312024354934692,0.348626047372818,0.39462411403656006,0.4222947955131531,0.17487753927707672,0.40395838022232056,0.5236834287643433,0.5608872771263123,0.6049506664276123,0.23127180337905884,1.171202301979065,0.14051681756973267,0.13222603499889374,0.0011277628364041448,0.22580265998840332,0.5028078556060791,0.3974155783653259,0.19464212656021118,0.15785503387451172,0.5065990090370178
8,0.5504306554794312,0.3349321782588959,0.42694616317749023,0.4471302926540375,0.1447433978319168,0.4456976056098938,0.5582721829414368,0.5518996119499207,0.6899847984313965,0.4723559617996216,0.5995628237724304,0.3478388786315918,0.3583022356033325,0.06815671920776367,0.36079806089401245,0.5306681394577026,0.5589865446090698,0.6145591735839844,0.3710259795188904,0.5117045640945435
9,0.5628611445426941,0.2820289134979248,0.42867380380630493,0.4550347924232483,0.19857272505760193,0.4555569589138031,0.5633211731910706,0.6061270833015442,0.6312640309333801,0.530818521976471,0.37443286180496216,0.38518571853637695,0.40367358922958374,0.17023921012878418,0.3969825506210327,0.5570526719093323,0.6129429936408997,0.5882364511489868,0.4950328469276428,0.5648616552352905
10,0.5748304128646851,0.2499106377363205,0.44172778725624084,0.47322025895118713,0.2013593167066574,0.44757264852523804,0.5671213865280151,0.6020998358726501,0.6757678985595703,0.4632319211959839,0.4595295190811157,0.3138052225112915,0.3322857916355133,0.19151005148887634,0.3637195825576782,0.5410035848617554,0.5977674722671509,0.3860735297203064,0.46673256158828735,0.5703566074371338
11,0.588034987449646,0.2323988974094391,0.46257439255714417,0.4888823926448822,0.2210780829191208,0.44361740350723267,0.5965952277183533,0.6026672124862671,0.7225109338760376,0.40432119369506836,0.633961021900177,0.27766674757003784,0.28553837537765503,0.16905775666236877,0.39064279198646545,0.6416589617729187,0.5600550770759583,0.27312615513801575,0.43992045521736145,0.5966084599494934
12,0.5899845361709595,0.25803571939468384,0.4555005133152008,0.46852946281433105,0.2149926722049713,0.4775606691837311,0.6057084202766418,0.6210067272186279,0.6733046770095825,0.5946006774902344,0.217084139585495,0.45129698514938354,0.46925753355026245,0.22952380776405334,0.463462769985199,0.6030409932136536,0.6735391020774841,0.6606355905532837,0.6064237356185913,0.6011210083961487
13,0.6312755346298218,0.14399433135986328,0.5012404322624207,0.5304296612739563,0.25462353229522705,0.5050746202468872,0.6314548254013062,0.6411851644515991,0.7434240579605103,0.5713106989860535,0.2630748748779297,0.4315183758735657,0.45361965894699097,0.2606465816497803,0.4289172291755676,0.6051175594329834,0.6750457286834717,0.6047731637954712,0.6112164855003357,0.6696747541427612
14,0.6351955533027649,0.12607161700725555,0.5036805272102356,0.5222698450088501,0.2721867859363556,0.506085991859436,0.6239508986473083,0.6559789776802063,0.731941819190979,0.5483716726303101,0.3026427626609802,0.4180971384048462,0.4390738010406494,0.2715740203857422,0.3344959318637848,0.5831557512283325,0.6534543037414551,0.6479791402816772,0.5771923661231995,0.687063455581665
15,0.6575947999954224,0.07609231024980545,0.5303029417991638,0.5591329336166382,0.29789480566978455,0.5145160555839539,0.6805377006530762,0.6560333967208862,0.7776427268981934,0.5789620876312256,0.20639124512672424,0.44322577118873596,0.4691441059112549,0.2965574264526367,0.3647550344467163,0.5919643640518188,0.6683763265609741,0.6680769920349121,0.6236990690231323,0.7262929081916809
16,0.6739933490753174,0.039017509669065475,0.5450718402862549,0.5677873492240906,0.3115651309490204,0.5603711009025574,0.6649725437164307,0.6945813894271851,0.7623735070228577,0.6019080877304077,0.18720252811908722,0.46392005681991577,0.4907912015914917,0.27399536967277527,0.45862460136413574,0.6399130821228027,0.6903330087661743,0.6588305234909058,0.6505521535873413,0.763828694820404
17,0.6852426528930664,0.01651778258383274,0.5592736005783081,0.5826658606529236,0.3254690170288086,0.5591003894805908,0.685904860496521,0.7004840970039368,0.792330801486969,0.6433003544807434,0.09884538501501083,0.5138545036315918,0.5299829244613647,0.31922778487205505,0.44842180609703064,0.6848186254501343,0.7096020579338074,0.7734545469284058,0.7111554741859436,0.7826480865478516
18,0.6870578527450562,0.018088877201080322,0.5620167255401611,0.5821647047996521,0.3212771415710449,0.5690657496452332,0.7019685506820679,0.696074366569519,0.7948172688484192,0.6774704456329346,0.026872530579566956,0.5524196028709412,0.5649593472480774,0.3456086218357086,0.48219311237335205,0.7109429836273193,0.7040114402770996,0.8290736079216003,0.766704797744751,0.784101128578186
19,0.6862422823905945,0.021724075078964233,0.5618677139282227,0.5816645622253418,0.3258453905582428,0.5705759525299072,0.6933024525642395,0.6981993913650513,0.7882709503173828,0.6382417678833008,0.12871718406677246,0.5087220668792725,0.5193719863891602,0.3144509792327881,0.45544272661209106,0.6859374046325684,0.7181117534637451,0.7558603286743164,0.7071405649185181,0.7887681126594543
20,0.6973265409469604,-0.010022073984146118,0.5712119936943054,0.590004563331604,0.3395712971687317,0.585708498954773,0.6979290246963501,0.7231961488723755,0.7875523567199707,0.673227071762085,0.03424590826034546,0.5479483604431152,0.5616772174835205,0.35108575224876404,0.47143352031707764,0.7024081945419312,0.7171637415885925,0.820913553237915,0.7652138471603394,0.8115059733390808
21,0.7175046801567078,-0.06261797994375229,0.594550609588623,0.6162788271903992,0.37821292877197266,0.591694712638855,0.7306672930717468,0.7138353586196899,0.8127206563949585,0.6758182644844055,0.021841421723365784,0.5504997372627258,0.5696148872375488,0.356900155544281,0.47007691860198975,0.7113066911697388,0.7172359228134155,0.8240996599197388,0.771125078201294,0.8598955273628235
22,0.7144372463226318,-0.0693996399641037,0.5899173021316528,0.6165851354598999,0.3814574182033539,0.5871018171310425,0.7090679407119751,0.729006290435791,0.8002069592475891,0.6665608882904053,0.03633762151002884,0.5390765070915222,0.5629822611808777,0.3482215106487274,0.459762305021286,0.693942666053772,0.7230527400970459,0.8087900876998901,0.7537705302238464,0.8587726354598999
