epoch,f1,loss,mean_iou,mean_iou_rounded,melt_pond_iou,ocean_iou,precision,recall,sea_ice_iou,val_f1,val_loss,val_mean_iou,val_mean_iou_rounded,val_melt_pond_iou,val_ocean_iou,val_precision,val_recall,val_sea_ice_iou,val_weighted_iou,weighted_iou
0,0.3101411461830139,0.674848198890686,0.19749298691749573,0.14124134182929993,0.07686375081539154,0.13564832508563995,0.3353903889656067,0.33556026220321655,0.3799617290496826,0.20411786437034607,0.923366129398346,0.11821356415748596,0.06796175241470337,0.05181805416941643,0.20433679223060608,0.3774524927139282,0.3597232699394226,0.0985039696097374,0.18421655893325806,0.21752505004405975
1,0.355548232793808,0.5888724327087402,0.2318614423274994,0.22504070401191711,0.1017385721206665,0.17247053980827332,0.38030949234962463,0.3938525915145874,0.42136460542678833,0.1377166360616684,1.4346179962158203,0.08060136437416077,0.06611531227827072,0.01577240414917469,0.198647141456604,0.3736382722854614,0.34022384881973267,0.027410311624407768,0.13153088092803955,0.2709527313709259
2,0.425241082906723,0.48235201835632324,0.293667733669281,0.35624295473098755,0.1344960480928421,0.2224753350019455,0.4378325343132019,0.46606677770614624,0.524017870426178,0.11399171501398087,1.7667829990386963,0.06814897060394287,0.06545677036046982,0.002934966469183564,0.19657760858535767,0.3724099397659302,0.33454430103302,0.004945844411849976,0.11320830881595612,0.34984150528907776
3,0.49101781845092773,0.35814744234085083,0.35418829321861267,0.46253108978271484,0.18500930070877075,0.2849436104297638,0.49240440130233765,0.5406316518783569,0.5925518870353699,0.11207033693790436,1.8123154640197754,0.06718063354492188,0.06543345749378204,0.00132999406196177,0.1965450644493103,0.37464624643325806,0.33419787883758545,0.0036748049315065145,0.11129014194011688,0.4490126669406891
4,0.5591726303100586,0.22447049617767334,0.4223334789276123,0.5296345353126526,0.24633097648620605,0.3679894506931305,0.551534116268158,0.6135714650154114,0.6525995135307312,0.12908530235290527,1.4595015048980713,0.07615214586257935,0.06568717956542969,0.00861331820487976,0.19879162311553955,0.37145474553108215,0.33931946754455566,0.02108750492334366,0.12301601469516754,0.5697044134140015
5,0.5959248542785645,0.1491616815328598,0.46194329857826233,0.5368653535842896,0.291095495223999,0.4128801226615906,0.5846433639526367,0.6496055722236633,0.6816325187683105,0.12278592586517334,1.7732781171798706,0.07278573513031006,0.0670725479722023,0.005845651030540466,0.19817525148391724,0.3829079270362854,0.33778315782546997,0.01434304378926754,0.11868248879909515,0.6467087268829346
6,0.6191993355751038,0.10978357493877411,0.48660722374916077,0.5438498258590698,0.3068016469478607,0.4430159628391266,0.6077426671981812,0.666928768157959,0.7094757556915283,0.21514716744422913,1.103945016860962,0.12620243430137634,0.08939681947231293,0.04146105796098709,0.21829000115394592,0.39136332273483276,0.37399113178253174,0.11887845396995544,0.18426546454429626,0.6845992207527161
7,0.6364757418632507,0.06768731772899628,0.5045560002326965,0.5455317497253418,0.342384934425354,0.4519997239112854,0.6245201826095581,0.6850873827934265,0.7193797826766968,0.35966068506240845,0.5760023593902588,0.2321387529373169,0.2041531503200531,0.09112565964460373,0.23935268819332123,0.3952459692955017,0.41608959436416626,0.3659282326698303,0.2880495488643646,0.7287418842315674
8,0.6625372171401978,0.013184189796447754,0.5357913374900818,0.5750054121017456,0.374139666557312,0.492495059967041,0.648932695388794,0.7083119750022888,0.7419331669807434,0.4493020176887512,0.41471076011657715,0.3121914267539978,0.448525071144104,0.1471010446548462,0.2835170030593872,0.457990825176239,0.4905523955821991,0.5059310793876648,0.3942441940307617,0.7882711887359619
9,0.6806756854057312,-0.013340282253921032,0.5591335296630859,0.5951427817344666,0.38662442564964294,0.5196510553359985,0.6739498376846313,0.711484968662262,0.7729769945144653,0.410700261592865,0.6260020136833191,0.3009282946586609,0.32553616166114807,0.05681193247437477,0.21733063459396362,0.43229907751083374,0.40485674142837524,0.6286236047744751,0.2814670205116272,0.82135409116745
10,0.6919060349464417,-0.047168195247650146,0.570995569229126,0.6061216592788696,0.4126040041446686,0.52745521068573,0.6854456663131714,0.7240703105926514,0.7744306325912476,0.38125079870224,0.7221494913101196,0.26097968220710754,0.26601865887641907,0.034874893724918365,0.30662843585014343,0.4306403398513794,0.47540634870529175,0.44143205881118774,0.277969628572464,0.8536065816879272
11,0.7111872434616089,-0.08586569130420685,0.5918955206871033,0.6294969916343689,0.42935580015182495,0.5583382844924927,0.7083561420440674,0.7384361624717712,0.7902817726135254,0.39121776819229126,0.6597223281860352,0.27101320028305054,0.27842655777931213,0.037139393389225006,0.3180232644081116,0.4299190640449524,0.4789870083332062,0.4578308165073395,0.289341002702713,0.8906340599060059
12,0.7187288403511047,-0.09917762130498886,0.5945543050765991,0.6216069459915161,0.43307751417160034,0.555620014667511,0.7057498097419739,0.7563152313232422,0.7915080785751343,0.2503105103969574,1.100595235824585,0.15184417366981506,0.16037248075008392,0.027662908658385277,0.23794329166412354,0.3982592225074768,0.39953941106796265,0.18994224071502686,0.1919446587562561,0.8963969349861145
13,0.739423394203186,-0.14644542336463928,0.6237063407897949,0.6504144072532654,0.46541252732276917,0.5896906852722168,0.7363375425338745,0.7650231122970581,0.8130820989608765,0.4304582476615906,0.5589406490325928,0.31255218386650085,0.42477163672447205,0.04676352068781853,0.33799079060554504,0.4265251159667969,0.44306623935699463,0.55286705493927,0.3258236348628998,0.9530447125434875
14,0.7407104969024658,-0.14041006565093994,0.6226935982704163,0.6466765403747559,0.453788697719574,0.5935032963752747,0.7367177605628967,0.7644374370574951,0.817112147808075,0.40838849544525146,0.5681135654449463,0.2872994542121887,0.36033254861831665,0.07189872860908508,0.2546335756778717,0.41523313522338867,0.4175097644329071,0.5353395938873291,0.303274005651474,0.9436821937561035
15,0.7493182420730591,-0.16154173016548157,0.6345884799957275,0.6571444869041443,0.4717586040496826,0.6080482602119446,0.7469615936279297,0.7723425626754761,0.8200376629829407,0.300092875957489,0.9452792406082153,0.2432066947221756,0.240759015083313,0.012442994862794876,0.03615898638963699,0.41926443576812744,0.34314870834350586,0.6810247898101807,0.14212265610694885,0.9713686108589172
16,0.7583721280097961,-0.1812995970249176,0.6434028744697571,0.6655431389808655,0.48062485456466675,0.6143766641616821,0.753180205821991,0.7889003157615662,0.8307656049728394,0.28293395042419434,1.0602126121520996,0.23485541343688965,0.23253603279590607,0.008279767818748951,0.011840175837278366,0.4204293489456177,0.3363352417945862,0.6845779418945312,0.12473888695240021,0.9860297441482544
17,0.7640985250473022,-0.19322064518928528,0.6506035327911377,0.6710292100906372,0.4823315143585205,0.6334721446037292,0.7635200023651123,0.7804832458496094,0.8313336372375488,0.3307250142097473,0.8235166072845459,0.2535804510116577,0.2601730227470398,0.027997927740216255,0.08458808064460754,0.3894195258617401,0.34927865862846375,0.6482084393501282,0.18026550114154816,0.9986728429794312
18,0.7680308818817139,-0.2002023458480835,0.6523579359054565,0.6708309054374695,0.48289623856544495,0.6378270387649536,0.7636033892631531,0.7946767807006836,0.831987202167511,0.5252519249916077,0.3594677448272705,0.3934311270713806,0.48094630241394043,0.13660739362239838,0.41433441638946533,0.5190251469612122,0.5407860279083252,0.6292526721954346,0.4756051301956177,1.001478910446167
19,0.7649205327033997,-0.18944033980369568,0.6519471406936646,0.6688562631607056,0.4817386567592621,0.6269962787628174,0.7689394354820251,0.7791625261306763,0.8426827192306519,0.47594499588012695,0.35442447662353516,0.3351415991783142,0.47509893774986267,0.19714587926864624,0.3086337149143219,0.4746069312095642,0.524042010307312,0.4995765686035156,0.4601830840110779,0.9960330724716187
